designation,l,b,parallax,phot_g_mean_mag,bp_rp,bp_g,g_rp,teff_gspphot,mh_gspphot,logg_gspphot,SIMBAD_ID,Spectral_Type,Object_Type,distance,adjusted_mag,X,Y,Z,Sector_Reference,label_name
Gaia DR3 557747446652671360,130.49669202982227,21.91246242021849,12.989091860792746,12.644871,2.0668268,1.0499449,1.016882,3832.6355,0.0009,4.5566,Gaia DR3 557747446652671360,,PM*,76.98767633005009,2.439569416111855,-46.38415189347251,54.3152137589337,28.730999184594403,R5-S6-U3,Gaia DR3 557747446652671360
Gaia DR3 1140778292031299200,135.5637328280333,25.28574611751913,12.98336515085831,18.18084,3.76297,2.3298569,1.4331131,,,,2MASS J06255051+7831217,,LM*,77.02163409721952,7.973333280080846,-49.726526502924926,48.75751138097501,32.89847663485295,R5-S5-U4,2MASS J06255051+7831217
Gaia DR3 1530416045795488768,122.00119265938869,72.4223184608411,12.98936151711859,15.035182,2.5312443,1.3744707,1.1567736,,,,Gaia DR3 1530416045795488768,,*,76.98607808259912,4.8299844572539765,-12.320866684186685,19.7165951082455,73.39147321063979,R2-S2-U8,Gaia DR3 1530416045795488768
Gaia DR3 1699624494396389888,113.97913124808538,42.40720640439606,12.98959541449599,13.083007,2.1657333,1.1135807,1.0521526,3612.4927,-0.6659,4.4456,LSPM J1424+7304,dM3.0,PM*,76.98469183143538,2.8778993502713117,-23.101307929843756,51.937289653128076,51.918111404390345,R3-S6-U6,LSPM J1424+7304
Gaia DR3 2158375448840905088,88.30179791317025,27.846189675868494,12.986755603209412,15.860795,3.0572624,1.7902479,1.2670145,,,,LSPM J1813+5922,,PM*,77.00152605881567,5.654594283012612,2.0176940017933873,68.05520798213722,35.96738234580942,C1-S7-U4,LSPM J1813+5922
Gaia DR3 17421113202647552,169.04410109925945,-36.791291657655044,12.98359150013776,10.4418955,1.0496788,0.44317913,0.6064997,5005.755,-0.3053,4.5546,TYC  655-1242-1,,PM*,77.02029134152824,0.23447639462801106,-60.555388357018,11.722411184104512,-46.1275979788174,R7-S2-D5,TYC 655-1242-1
Gaia DR3 3286097349531030272,189.8112056447441,-25.65659609495757,12.985487272727122,17.320503,3.3424473,2.0085373,1.33391,,,,Gaia DR3 3286097349531030272,,PM*,77.00904702284514,7.113814156058455,-68.40111869907781,-11.82870190746077,-33.34309666581486,R7-T2-D4,Gaia DR3 3286097349531030272
Gaia DR3 3598062608312665088,285.28335389707837,58.17812423101306,12.984663378772995,14.113617,2.539876,1.3840265,1.1558495,,,,Gaia DR3 3598062608312665088,,PM*,77.01393334807393,3.9066106180489495,10.703957187218482,-39.17178774202105,65.43807970417392,C2-T4-U7,Gaia DR3 3598062608312665088
Gaia DR3 3777271080810189824,254.5316124393894,46.16748860731519,12.98775294853595,15.461952,2.8269396,1.6052132,1.2217264,,,,,,,76.99561301808758,5.256135442245158,-14.221736061161526,-51.39201540773177,55.54212275173875,R2-T6-U6,
Gaia DR3 4041094635336828928,354.29466669367696,-3.328587210648381,12.98445051996757,19.277452,,,,,,,,,,77.0151958654079,9.070364177420537,76.50440404598541,-7.643347028338669,-4.471666575242447,C8-T1-D1,
