System Name,Other Names,Bayer,Flamsteed,Variable Star Flag,Variable Type,Variable Star Designation,Constellation,Obsolete Designation,Henry Draper,Redundant HD Designation,Yale Catalogue of Bright Stars (HR),Hipparcos,Smithsonian,Other Designations,Gaia,Notes,Object Type (SIMBAD),Glat,Glon,Parallax,Spectral Type (SIMBAD),Number of Stars,Star Name 1,Star Name 2,Star Name 3,Star Name 4,System Age (Gyr),System Metallicity (dex),System Metallicity (Z),Known Exoplanets,Spectral Type 1,Spectral Type 2,Spectral Type 3,Spectral Type 4,Mass 1 (Msol),Radius 1 (Rsol),Temperature 1 (K),Mass 2 (Msol),Radius 2 (Rsol),Temperature 2 (K),Mass 3 (Msol),Radius 3 (Rsol),Temperature 3 (K),Mass 4 (Msol),Radius 4 (Rsol),Temperature 4 (K),,
Alpheratz,,Alpha,21,,,,Andromedae,,HD 358,,HR 15,HIP 677,SAO 73765,,{{Gaia}},,a2*,111.7322278,-32.84335675,33.62,B8IV-VHgMn ,2,A,B, , ,{{sys age}},{{dex}},{{Z}},{{exoplanets}},B8IV-VHgMn ,{{spectype2}}, , ,{{mass1}},{{radius1}},{{temp1}},{{mass2}},{{radius2}},{{temp2}}, , ,, , , , ,
Mirach,,Beta,43,,,,Andromedae,,HD 6860,,HR 337 ,HIP 5447 ,SAO 54471 ,,{{Gaia}},,PM*,127.1075879,-27.10282071,16.52,M0+IIIa ,1,Mirach, , , ,{{sys age}},{{dex}},{{Z}},Y,M0+IIIa, , , ,{{mass1}},{{radius1}},{{temp1}}, , ,, , , , , , , ,
Almach,,Gamma-1,57,,,,Andromedae,,HD 12533,,HR 603 ,HIP 9640 ,SAO 37734,,{{Gaia}},,* ,136.9645847,-18.55901423,8.3,K2+IIb ,4,A,Ba,Bb,C,0.0065,-0.06,{{Z}},{{exoplanets}},K2+IIb ,{{spectype2}},{{spectype3}},{{spectype4}},{{mass1}},{{radius1}},{{temp1}},{{mass2}},{{radius2}},{{temp2}},{{mass3}},{{radius3}},{{temp3}},{{mass4}},{{radius4}},{{temp4}}, ,
Gamma-2 Andromedae,,Gamma-2,{{n}},,,,Andromedae,,HD 12534 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,SB*,136.9667244,-18.55715822,12.0724,B9.5V+A0V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta Andromedae,,Delta,{{n}},,,,Andromedae,,HD 3627 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,SB*,119.8691277,-31.93872938,31.5735,K3III-IIIbCN0.5 ,,,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
Epsilon Andromedae,,Epsilon,{{n}},,,,Andromedae,,HD 3546 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,PM*,119.5650928,-33.47576642,19.2451,G7IIIFe-3CH1 ,,,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
Shimu,,Zeta,34,,,,Andromedae,,HD 4502,,HR 215,HIP 3693,SAO 74267,,Gaia DR3 2804918316384272128,,El*,121.7365764,-38.59505491,18.0083,K1III+KV ,2,Aa,Ab, , ,{{sys age}},{{dex}},{{Z}},{{exoplanets}},K1III,KV, , ,{{mass1}},{{radius1}},{{temp1}},{{mass2}},{{radius2}},{{temp2}},{{mass3}}, , ,, , , ,
Kui,,Eta,38,,,,Andromedae,,HD 5516,,HR 271 ,HIP 4463 ,SAO 74388 ,,Gaia DR3 2803727064255015424,,SB*,124.6454788,-39.43490337,12.5624,G8-III ,2,{{Starname 1}},{{Starname 2}}, , ,{{sys age}},{{dex}},{{Z}},{{exoplanets}},G8-III ,{{spectype2}}, , ,{{mass1}},{{radius1}},{{temp1}},{{mass2}},{{radius2}},{{temp2}}, ,, ,, , ,,
Theta Andromedae,,Theta,{{n}},,,,Andromedae,,HD 1280 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,** ,115.6190483,-23.70191948,18.8747,A2V ,,,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
Rasalnaqa,,Iota,17,,,,Andromedae,,HD 222173,,HR 8965,HIP 116631,SAO 53216,,Gaia DR3 1925644949328127488       , ,Pu*,109.0332566,-17.61667364,6.4313,B8V ,1,Rasalnaqa, , , ,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}}, , ,, , , , ,, , ,
Kaffalmusalsala,,Kappa,19,,,,Andromedae,,HD 222439,,HR 8976,HIP 116805 ,SAO 53264,,Gaia DR3 1926476042681491712 ,,PM*,109.7658752,-16.71439666,19.4064,B9IVn ,1,Kaffalmusalsala, , , ,{{sys age}},{{dex}},{{Z}},{{exoplanets}},B9IVn, , , ,{{mass1}},{{radius1}},{{temp1}}, ,, , , , , ,,,,
Udkadua,,Lambda,16,,,,Andromedae,,HD 222107,,HR 8961,HIP 116584,SAO 53204,,Gaia DR3 1939115478598580352, ,RS*,109.9029784,-14.53630264,38.5736,G8IVk ,2,A,B, , ,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}},{{spectype2}}, , ,{{mass1}},{{radius1}},{{temp1}},{{mass2}},{{radius2}},{{temp2}}, , ,, , , , ,
Mu Andromedae,,Mu,{{n}},,,,Andromedae,,HD 5448 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,PM*,124.0735556,-24.36063025,26.7046,A6V ,,,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
Nu Andromedae,,Nu,{{n}},,,,Andromedae,,HD 4727 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,SB*,122.6023671,-21.79179763,5.7868,B5V ,,,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
Adhil,,Xi,46,,,,Andromedae,,HD 8207,,HR 390 ,HIP 6411 ,SAO 37155,,Gaia DR3 398030875774246656,,* ,128.5835325,-17.00359079,14.6042,K0-IIIb ,1,Adhil (Xi Andromedae), , , ,2,0.03,1.071519305, ,K0-IIIb, , ,,2.5,10,4842, ,, , , ,,,,,,
Alfarasalkamil,,Omicron,1,,,,Andromedae,,HD 217675,HD 217676,HR 8762,HIP 113726 ,SAO 52609,,Gaia DR3 1931192500887330688 ,,Be*,102.2076256,-16.09604331,9.3051,B6IV/V_sh ,4,Omicron Andomedae Aa,Omicron Andromedae Ab,Omicron Andomedae Ba,Omicron Andromedae Bb,{{sys age}},{{dex}},{{Z}},{{exoplanets}},B6IV/V_sh,{{spectype2}}, , ,{{mass1}},{{radius1}},{{temp1}},{{mass2}},{{radius2}},{{temp2}},{{mass3}},{{radius3}},{{temp3}},{{mass4}},{{radius4}},{{temp4}},,
Pi Andromedae,,Pi,{{n}},,,,Andromedae,,HD 3369 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,SB*,119.4693637,-29.0545159,5.6563,B5V ,,,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
Rho Andromedae,,Rho,{{n}},,,,Andromedae,,HD 1671 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,PM*,116.369601,-24.51653649,19.9513,F5IV-V ,,,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
Sigma Andromedae,,Sigma,{{n}},,,,Andromedae,,HD 1404 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,PM*,115.5854924,-25.61376217,23.2542,A2V ,,,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
Tau Andromedae,,Tau,{{n}},,,,Andromedae,,HD 10205 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,* ,132.924029,-21.33930628,4.7804,B8III ,,,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
Titawin,,Upsilon,50,,,,Andromedae,,HD 9826,,HR 458,HIP 7513,SAO 37362,,Gaia DR3 348020482735930112,,PM*,132.0008984,-20.66615463,74.194,F9V ,1,A, , , ,4.02,0.08,1.202264435,Y,F9V, ,,,1.23,1.57,6614,,,,,,,,,,,
Upsilon Andromedae D,,Upsilon,50,,,,Andromedae,, ,,,,,,Gaia DR3 348020242217448576,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,1,D,,, ,{{sys age}},{{dex}},{{Z}},,M5V,,,,0.19,0.222,3188,,,,,,,,,,,
